PUMA2020,elasticity,delta_bar,A_g,α_g,delta_g,HDD_g,CDD_g
400120,0.29889327,0.01421147805747769,-0.013529723222683063,-0.016738842437369422,-0.012072422305143741,-150.7899232673334,323.48950879711543
400121,0.33482024,0.015395121113066498,-0.013446761739460302,-0.016593405499411386,-0.012072540819598743,-151.8276237422814,321.8545063985259
400122,0.21469679,0.006145673433854258,-0.013449216612185746,-0.01657212362291238,-0.012074005730795534,-152.97003018283354,322.1112687865504
400123,0.25850117,0.00649945892888144,-0.013390140999139755,-0.016474760648401678,-0.012073874853286362,-153.42466479122504,320.89650841992716
400124,0.26725951,0.008299773300468518,-0.013310882950211628,-0.01627176344134826,-0.012072952800509667,-157.35290661297728,319.85617310913915
400125,0.20972595,0.006758317051662496,-0.013321192401167884,-0.01627502532847895,-0.01207217880829029,-157.90306184850334,320.1799825030869
400126,0.24117623,0.007683051152975871,-0.013321192401167884,-0.01627502532847895,-0.012072266951816273,-157.90306184850334,320.1799825030869
400127,0.28923556,0.009045923397868921,-0.013312102529906056,-0.016272149313624786,-0.012071630377544005,-157.41798846426818,319.8944788698822
400128,0.26254365,0.009120376963852822,-0.013321027727576472,-0.01627469488955916,-0.012072606281280629,-157.9070361351735,320.1770771989338
400129,0.52892184,0.05766712373559679,-0.013087308614014592,-0.015851677623353565,-0.012072431569185582,-161.4399081184703,315.67920767048685
400130,0.26142186,0.009696192962356747,-0.013290951750531244,-0.01626545725452874,-0.012072700320319067,-156.28929479688762,319.23015435057096
400131,0.4887321,0.01111779115354477,-0.013290919210092879,-0.016265446958807096,-0.01207249063510765,-156.28755830358642,319.2291322884195
400132,0.74743968,0.04147453245015507,-0.01318326384529481,-0.01609504698287005,-0.012072425029914577,-156.7938293852629,316.95819875691757
400133,0.53284758,0.011767751098366832,-0.013162278039926388,-0.01606737422975368,-0.012071895515314205,-156.63831439802064,316.4703593541745
400134,0.74999189,1.4912596055376237,-0.013379152483421902,-0.0165793217468358,-0.012072196858676177,-147.88465001082523,319.67145062521024
400135,0.84430212,0.015116970075373624,-0.013574765392553442,-0.016746719501988912,-0.012072409642983872,-153.4858221538445,324.95615245613124
400400,0.8572694597767965,1.749376619791074,-0.007697702978937206,-0.005259552168681172,0.03786573342043259,-281.2980726437614,218.776696652449
400500,0.8820307722860227,1.6282322728957794,-0.0055622981279806055,-0.0006260369754632934,0.17600773427422364,-348.8158603134794,183.9409341342059
400601,0.8267067926217828,0.40571061795904784,-0.008214526435520675,-0.005808999005405416,0.054064447061579715,-291.1829504903407,231.86641084413236
