PUMA2020,q,population,H_S,homeownership_rate,total_owner_occupied_home_value,mean_rent,mean_labour_earnings,mean_labour_earnings_workingage,mean_income,mean_income_workingage,delta
3400601,500025.0625,165889,228276.50579916185,0.2190003122988369,1.1037182575049276e10,2178.079145115949,116019.6508185897,129544.5375,129666.8442,139888.6321513057,0.06034833489333748
3400602,500025.0630801287,126560,162066.0521166971,0.303967751,6.810599876194546e9,1398.637999236584,79877.58961105347,96454.45857,90391.79480361938,103592.7964248657,0.10695797294696273
3400603,500025.0625,146205,200570.77278278873,0.2561775672802469,1.495635730170833e10,1764.831803381443,136242.9146270752,157324.9422,149874.0477409363,168001.1470603943,0.03566525993560418
3400604,500025.0658869224,150471,182493.2813970207,0.3201769679632571,7.708247551650289e9,1772.441521391107,86846.20452,102269.1206145942,100250.4940332799,111938.7655124515,0.21389339768988422
3400605,500025.0647808395,135729,186991.05300985067,0.3664307873891817,8.60497535303878e9,1447.414823292099,71047.40580780228,86664.70104,88766.56963,97816.94876551311,0.2022513861314404
3400800,425208.3756528638,128947,210479.77463048053,0.7069396412038216,1.6767661106897785e10,1504.212632815265,111255.8964222053,148509.6608597338,143098.4242746385,170894.6754,1.7907383391577125
3400901,378611.2507670404,131871,224187.72463452045,0.7391627710239845,1.7364010709645245e10,1215.743389,76025.14869451523,115235.2519416809,108902.9101409912,136383.4073896408,0.12821095489073558
3400902,378611.2507364096,118048,181945.67204440545,0.6737908105128554,1.6653314424652779e10,1701.653713089414,119607.7930390239,149134.9761971235,145648.3891958594,165263.2221,0.14262522210596554
3400903,378611.2516564182,118725,160592.0705852148,0.7455161451590868,1.2056830762445784e10,1397.889954163693,100332.7445139326,122079.1535081565,126039.4255424477,138409.3353,0.05531020039870005
3400904,378611.25,115411,150555.2726172844,0.5953031811041001,1.0375625031468496e10,1505.061134777963,102660.9496445656,125218.8971939087,122348.2437310219,135887.1395134926,0.05398348665837501
3400905,378611.2513736064,114925,147455.72356170652,0.6026598854150507,9.607708996524872e9,1716.322065323591,91563.69243240356,119397.6791,108394.4885349274,131187.0682239532,0.045009414102495544
3400906,378611.2506640003,153990,193776.5116479273,0.4372349708100955,1.1722365147910427e10,1533.579315401614,72636.48139941692,112579.2072954178,89048.65820455551,124208.7067322731,0.05087410404830405
3400907,378611.25,110192,147602.38563679327,0.5234239143319428,7.930752886975721e9,1231.634149104357,66344.95909309387,77827.51493263245,82622.13795185089,88857.67978858948,0.04833625857827956
3401001,441892.5637536065,111214,183619.0682610056,0.7828225840203231,2.1497553248582394e10,1525.831963583827,145801.3216600418,189308.9463443756,190466.3956899643,225829.1114110947,0.10569506077310399
3401002,441892.5632705455,113861,170199.41033882767,0.6646227516867849,1.5051191995462885e10,1801.860542389581,103143.3493293939,125995.1854297952,131942.0371164982,143125.0811026793,0.08787269447197302
3401003,441892.5638262038,120286,188378.35503859157,0.6600467212265357,1.3396725863215322e10,1479.701722621918,98367.60671806335,120860.0723247528,124332.5112037659,134402.0391426086,0.034276547514468333
3401101,452540.9377024109,103643,211903.31616958376,0.641747085,2.2233405433607033e10,1373.882200912922,87571.28089548211,117029.6147271946,127849.2107,142893.4927361775,0.10556216108420885
3401102,452540.9383553116,111349,169490.03215204686,0.700346892,1.2914265092024124e10,1603.512394722428,98966.96588859544,132215.6016485221,129087.1042819365,149598.7237633955,0.29584110690000226
3401103,452540.9375,114319,193479.58045022498,0.5241791611770168,1.7196672896040283e10,1454.795578956604,81110.34099769592,102477.1463,114376.0288009644,123411.6239929199,0.06233982931540706
3401104,452540.9375,107026,182585.59221785236,0.7582266330718994,1.9850904782914936e10,1640.849647521973,118843.6348876953,157425.3745117188,163679.8920898438,192902.8713378906,0.09409881609220307
3401105,452540.9379,100778,170731.7607391869,0.7507768552313792,1.4166724360787394e10,1586.031022,104424.3803024292,135335.4621009827,136806.4535942078,155384.1412696838,0.10671234724693403
3401106,452540.9379674057,106500,170747.77831189215,0.892279681,1.6586793097925503e10,1968.731355924102,114969.4692,147703.3532599256,160207.4151033527,183425.5504685456,0.2526948908392021
3401201,312274.2189175741,124032,311697.4815962203,0.5996908271997086,2.115904343930098e10,1490.790818423498,75958.30935560912,111606.6477207989,122657.8052216619,138540.8945680559,3.284630417228582
3401202,312274.2188,159890,291488.9049533,0.6358463058131747,1.710346724352991e10,1349.232805073261,60369.15930557251,91109.02452087402,93869.96578979492,113442.2328338623,1.0487234807554957
3401203,312274.2197501954,135158,151979.33071953975,0.4757673909034565,8.195066983831389e9,1466.634359352291,48950.44239699841,75216.09879875183,69909.65505242348,88927.78196930885,1.037110692193011
3401204,312274.2193,114367,193425.743538869,0.7632279374320085,1.0552142515985704e10,1345.907590659706,56675.17362766251,94761.78351875885,86408.46558787883,112862.1622571285,5.446694079826716
3401205,312274.2192965459,103782,187586.67242590376,0.6475175661187222,1.6664805991220245e10,1732.234466444235,86906.96202620864,112432.3364709318,119787.5466265976,130465.5430713594,0.6178807958801127
3401401,440015.0016496411,121470,172364.91668496103,0.588351336,1.11579159618234e10,1503.345083322978,90319.60233224071,106290.3520258336,114192.1090931713,120863.8454481845,0.06954042347732181
3401402,440015.0011,105344,139167.70025291372,0.3118092182921828,6.273725180690452e9,1279.229210734367,64059.38414001465,79242.93076992035,81684.98514,92236.12968,0.06554722548605765
3401403,440015.0020369178,113124,173375.98515547987,0.6256717556680111,1.9453058910994858e10,1879.184334486733,138513.9349460607,180782.9836082465,175660.4279785163,200820.7624359138,0.21367576225771967
3401404,440015.0014463381,108182,158239.42537357117,0.7133441091937129,1.895729832096472e10,1771.074416,167571.6805849075,232018.8426055908,205266.5526995659,256413.4781141281,0.2655354819411621
3401405,440015.0,104059,137499.26335315852,0.3113699039095081,6.186786561273811e9,1278.430004835129,63889.34358596802,78986.26513671875,81483.7197189331,91957.28860473633,0.06538252086445913
3401406,440015.0018,156404,189430.1629086119,0.1858706817226228,5.429640783325234e9,1208.335405259939,37885.44284317503,48925.78906795057,48045.94347839244,58867.34202876035,0.08552410105810268
3401407,440015.0012017799,155145,215229.6786963015,0.2564129,5.880921069585977e9,1095.713542593643,44480.76833844185,50661.79983,57504.32382273674,60605.71449315548,0.03616522430473664
3401501,468262.8132697079,132976,216454.92567286847,0.7281256176302122,1.6772973764104488e10,1473.647360961884,92079.31553220749,124835.2485501766,119612.6617672443,140805.7073760033,0.35412917055576415
3401502,468262.8131878083,131809,203124.12751293794,0.762182572,2.0897475573651096e10,1462.556625839323,117776.0535666943,145210.0111246109,152349.5127,166277.1926136017,0.40780900573700474
3401503,468262.8136521081,118299,189861.7149295652,0.682606275563785,1.7509950906767406e10,1447.839398812503,95367.0741277039,134580.7865036726,123930.3771535754,153476.8089805841,0.21138263094837892
3401504,468262.8136820529,126201,193063.13327150396,0.633609128,2.1756306547458355e10,2338.914595752954,134619.8531,186614.5196590424,172468.4563922882,213150.6472892761,0.206206850431223
3401600,273883.6879493074,144221,247454.7598457838,0.7252300512536584,1.5620665775020967e10,1321.340953667338,83606.86838197499,111552.2499091838,111523.3087453423,130373.7746,0.11645751382188539
3401700,267838.3757,109632,181000.0478184327,0.6863710479632408,1.064568402576225e10,922.4420586297219,62763.66237583919,83736.14287079906,88127.72375886212,98411.90105206263,0.9565041394618874
3401901,417774.5012720315,104578,137753.51349548865,0.6379017754879897,8.442329969145402e9,1739.231563,94427.86481022835,108427.5828652382,113019.4335465431,120873.8160743713,0.08860402212848449
3401902,417774.5024789438,102153,160937.95580096144,0.6985507140634581,1.8867471812473297e10,1896.202227469534,146904.9958748817,190732.7725071907,184465.7522921562,215847.2689189911,0.17946867580126658
3401903,417774.5017,118360,143965.45230506067,0.5322331524248511,1.1776315319207714e10,1582.193738792092,112452.9887587428,137767.5145,134337.922,152594.3800624609,0.13421354368490943
3401904,417774.5014638293,112956,165359.6861130644,0.5311704725172604,8.417436753654164e9,1423.418581783772,75136.40764045715,89875.15483856201,92971.04800987244,100101.9291477203,0.12748471518153734
3401905,417774.5010296858,137298,159144.45762464908,0.2305300791213085,4.140811412080437e9,1324.315972104669,54174.45377969742,64090.68945741653,68320.99119,75153.87112569809,0.06559141896746169
3402001,259224.9229998968,164141,257425.86306218506,0.6756956654284025,1.2586150892843204e10,1356.401338547195,84748.34450931227,111009.2314,107389.7756631789,124186.8842874412,0.15806280364366665
3402002,259224.9221694969,161555,279394.1875332149,0.6717177579621136,1.805465432983032e10,1510.260651374294,90883.09334533475,123515.2433104776,122130.6906877272,143190.6689222641,0.21071198634743424
3402003,259224.9221717692,136164,205597.72760735778,0.6147589151746615,1.082729549257681e10,1636.313226558268,70593.84590727091,104096.3589729071,95297.91701292992,121457.6458113194,1.0447554357169047
3402101,202076.0009647347,127071,172114.12928856784,0.4820652238957548,5.185073290794695e9,985.3428339382328,45453.14351066673,56735.08048,59739.24609648481,68176.14493715114,0.07016054928781783
3402102,202076.0,106579,178042.96547172422,0.5563819060334936,8.296924558449418e9,1148.075070619583,68991.00156402588,84363.43547058105,84278.24378967285,93560.24169158936,0.0572587859980236
3402103,202076.0007757659,169465,262280.75197352254,0.6332655458754743,1.0776504067889774e10,1174.956071920693,65358.53727173805,82057.44448041916,84960.12203264236,95463.18039560318,0.22626038302045096
3402104,202076.0007690566,120370,187373.0808691553,0.6967091455117043,1.3043420110141027e10,1457.676770634949,108530.4422593117,137746.3818397522,143453.6744379997,158077.7950739861,0.09825065826834108
3402201,227937.0161,131681,200875.38172850927,0.7521864865931018,9.561578435425068e9,1152.199893196106,80874.01520854235,99734.24743140838,104713.9207449928,109986.6037203134,0.08089650834284379
3402202,227937.0160283874,170613,256857.956469981,0.7378529068409989,1.4099027633250784e10,1246.472959272563,84135.94567513466,111473.9381432533,110606.8029232025,129615.5564041138,0.3013599185280575
3402301,276547.8447418117,128135,197875.11292080907,0.3818070366405522,6.46748682829943e9,1021.098616711824,61841.42029,90347.24512000941,84607.16024,106984.0790046267,0.22489800101345608
3402302,276547.8448524934,115487,176503.16790658733,0.5399949206475885,1.5886817726548277e10,1905.874015039391,113406.4787695173,158181.7763761713,145230.8242349613,181709.8658637959,0.964391085446316
3402303,276547.8450673047,143718,212193.1282462568,0.6195988803335923,1.3968438346535133e10,1526.775534439462,89012.73345529241,118048.1465,116224.2670707232,137347.7540799048,0.6865060976321375
3402401,158592.0003,113103,163937.3932477326,0.572386983,7.411615427485226e9,1016.315233290195,46303.40116119385,73891.05179023743,66172.78940200806,85523.47272396088,0.2912694300649017
3402501,168628.8517563413,105886,166331.90461309865,0.565783066,5.88744904859501e9,987.2093798429705,52615.28515238687,75358.98016,77544.87733288482,88428.32920071483,0.2666142883149983
3402601,441804.5047110285,105732,444880.2133613888,0.3298708178081142,1.718827748890677e10,1099.042647339404,60823.00318312645,90087.28100633621,101037.7351708412,108597.3172245026,2.6703393974240135
3500100,149581.3047429136,121143,162847.47250210686,0.563155134,3.3232452858384695e9,520.1363583815473,29354.76853941916,37353.29835746204,43257.063,47588.18152348977,0.2015192732606376
3500200,185411.7501,100592,166322.6201374895,0.6114991446056592,5.5042725084157295e9,617.9289116831496,33168.67094027996,43298.22380387783,51084.90568989515,57272.94093257189,0.07929301346480905
3500300,210065.0369523152,125661,253653.5287251863,0.5328336345078242,1.3257274030983198e10,693.0817901734263,44400.15345099568,68551.37359419465,71737.76909819245,87999.95686408877,0.7141750213878341
3500400,90098.31206639839,164797,306976.9404787912,0.478052364,7.255382673259354e9,716.3491720518577,37705.47119810712,54640.96362335887,58161.75671788212,66923.7312829066,0.39018927900554945
3500500,394847.3004322615,144474,262549.86564205476,0.6106914290794521,2.2902093731701164e10,1048.748421370983,41236.50304269791,62911.26312828064,72632.20441675186,77549.86635684967,0.02259388597097145
3500600,234763.1876490599,148834,235621.89090134946,0.8014327837154269,1.3661684351211632e10,1034.758887416683,58893.92038857937,76630.56613790989,85468.07854604721,92531.36828041077,0.11321512364800536
3500701,219670.3439597632,129990,207068.68015083822,0.6560295143388224,9.301202973338285e9,1117.342377748144,52397.06824619451,66914.74766544346,71298.15214,80955.36947416887,0.11789361126840085
3500702,219670.3438229341,100999,154450.48939178916,0.4339035007896765,1.19222970510904e10,873.4471660701963,47673.06272554023,59352.61338926363,66005.00476723771,72769.48156261863,0.015040975994585726
3500703,219670.3438,100928,174793.12079587718,0.6366558844981998,1.295533119589717e10,1069.417491289605,77878.34296273725,104798.2177850035,101891.9228,117900.6497705359,0.01657899228113276
3500704,219670.3438,102247,178657.66675948203,0.550889153,6.699299156650323e9,989.7758788212662,58461.09195230363,75068.40368143913,77009.86815743012,84359.92647700422,0.0056970584740969835
3500705,219670.3438,105290,164838.51496674304,0.4867803917001583,5.837424772624493e9,694.7318271821919,42150.01753391162,53205.61332264086,62317.66990106428,66050.05969396624,0.04831580752687512
3500706,219670.3438,112750,164335.09494265745,0.6928884515531877,5.64444364421474e9,809.4505683,37269.90627018549,44759.53134852089,52689.55995147768,54941.51461257599,0.02838686562677929
3500800,207010.2852226637,125839,210509.79767974326,0.555680737,1.1302997846652853e10,633.0431808089479,37899.03858948812,59002.18609148968,63346.77256218228,73466.92600409733,0.15502202679306795
3500900,146345.9404575796,177648,341575.59236779547,0.4732518635332212,9.605876080580183e9,576.8095653723576,34808.48184948042,53125.32454887405,56962.20168296993,66172.86439505965,0.5585411316666782
3501001,186122.1563129065,103761,144450.31153059518,0.6874810637434715,5.070737313707555e9,631.3431040288415,46829.86352479047,61462.25412752949,65646.80227743348,73903.4369101947,0.2963738243117448
3501002,186122.1563,115800,191421.47926504712,0.4968357887119055,5.164249903006992e9,712.8104705810547,28114.57568359375,38550.57092285156,46934.16064453125,48959.59436035156,0.010587600853905494
3501100,215331.5312976454,136769,222223.1587135772,0.6104658374654264,6.783477179482811e9,916.5181123872753,59444.99517053366,80138.24190220237,77052.29149,90963.50574377179,1.0097634624849021
3600100,94920.56255864556,108505,200934.11724153804,0.5000917766400904,4.876280535426944e9,672.9667548627594,36452.63315977566,59522.03383741792,54964.76827962379,74974.02377951876,1.1463841290022105
3600200,157520.7969579049,169886,360547.71549864893,0.4535104767492969,8.819784427070934e9,788.2180865788073,43167.75766885415,69551.68526063852,67367.93552683521,88740.80372260595,0.6409304390360537
3600300,196133.4065030676,127039,280739.8815717578,0.5285732546197149,1.0946413357211828e10,862.8410091272995,47057.30454523688,68805.98216941208,73455.09191085018,84239.72588954055,0.9409564905316363
3600401,132512.5079530034,109807,217543.32856673782,0.6683205627567562,6.99008552142752e9,656.8589356168532,47709.19357571092,64220.03876484472,72817.69958892226,80768.77760683905,1.423764501261129
3600402,141843.0469030418,164365,272600.5223387968,0.4952971097863171,9.44401231985457e9,914.0705662,40169.29776871038,60860.42049373128,60173.92180180139,71861.18889245138,0.21169416774348612
3600403,146763.3293,106330,199477.57275283345,0.5584040040015303,6.232453804697529e9,711.3117809175902,49740.70187596395,76036.24914838304,70948.84513241549,90237.09958629691,0.6764010522239319
3600500,139799.3359832298,143303,311452.5297146252,0.4543479022678709,6.987768737142393e9,819.4660549795676,42592.01539366285,62387.29459332605,65129.08011130145,77328.97481546382,0.8096408023260669
3600600,123472.1095291047,117525,202316.03220129758,0.5664544988917048,5.354562823243042e9,747.9798551613337,46112.98127676296,60455.98144182395,65874.77238226483,75006.35773719795,0.22841484371878493
3600701,154460.5625,148626,246714.72800369898,0.2575822058133781,4.023404305960888e9,931.4115514755249,35115.30545043945,48609.27044677734,46387.01074,57336.99298095703,0.03914347442884991
3600702,154460.5628,128516,221515.68440728667,0.6688129935631164,8.095589032350783e9,1085.485604408011,67655.83364941686,88893.14843110877,95144.13202569706,104410.6127047103,0.4106723273538013
3600703,154460.5626148427,164828,286104.44560372527,0.69822917,1.053471906956337e10,933.7548858866721,59473.60091,90187.86547161872,90055.39076106763,104371.9204066368,0.2864809447929038
3600704,145134.5196607411,110794,202358.81341927376,0.6308802423615731,7.436502023057709e9,718.7397172342726,50817.53473867655,74013.89408,74985.64381211402,90573.49645717791,1.3867235250224135
3600800,154616.3908478827,149871,268826.0609441611,0.61978219,8.383947617489568e9,752.3278886,46445.76557879994,67435.2819182702,69972.72485003606,81930.43091943629,0.2326830986377339
3600901,162067.1875917848,136023,232181.80133707463,0.6846140293733782,8.403657000887665e9,1122.985474452806,64593.83027077653,89568.16307410086,92803.26677,108294.0358288987,0.20921992641175977
3600902,162067.1875,105871,179254.42020089555,0.2743532646782114,2.8810622179405375e9,889.2007734626532,41055.15201473236,48027.56386089325,58580.05687,61245.44285678864,0.033018693024639195
3600903,162067.1875,105242,168380.44870571885,0.2831086263049383,2.4979889194014726e9,935.8773044418142,30391.89109939364,42692.52574686357,42980.22547573617,52329.03367600107,0.07751735433270808
3600904,162067.1875,126093,203614.31944498981,0.6712651282780087,6.225070672087861e9,1028.804976285232,54524.88569048326,76112.79860384623,79010.02873219084,89966.17310186522,0.17668095924409644
3600905,162067.1876380571,104966,173655.34681088946,0.672798182,5.831042333002171e9,888.2738333600595,56022.49821479269,79670.35963,78081.32969227538,89786.46515181081,0.961777785912888
3600906,162067.1877453066,181248,291219.10665945994,0.6094445831420634,1.5491060679547174e10,1175.206765192866,78239.59544,121001.2429387544,104580.4676,138308.1590330908,0.36824577207787745
3601000,132471.8673160045,139262,238774.85146505662,0.6441508026782619,6.678819689457503e9,761.5854185372875,45035.52760755789,67896.36056327619,66262.41903752282,84087.34727373553,0.6385186654353963
3601101,151135.0783028661,105708,214673.92457843287,0.61045206,5.835328835985638e9,701.0557908382539,41172.17919280664,54710.17690474432,60677.41452800245,66518.78136275618,0.07589334393477136
3601102,151135.0782890465,106958,188531.83860506228,0.6541785753526488,6.138055165791037e9,702.0097226118692,46552.72373762942,63677.99754991385,69445.63439,77401.15801385936,0.5566472009483573
3601201,181308.2032069566,109154,197430.11916085938,0.6668492743391099,6.113589943738206e9,893.0842736470939,61626.66646201814,76904.65921464065,80915.48761346455,88409.69095207789,0.24473959120737065
3601202,181308.2034157099,129595,210388.77592539767,0.5631700559688827,9.47720741765082e9,1262.264327655786,62257.56703040615,97473.97509162354,89597.84187,113476.9445574361,0.25013577409023363
3601203,181308.2033280683,113381,206769.54728049116,0.7111678391208618,1.1539600141643454e10,795.8017925795914,83215.21294447055,117093.2294793771,108259.0575681532,129703.0113669771,1.2792356890778809
3601204,181308.2031,155326,266733.5136273232,0.6604420869967342,7.9451677274422e9,897.2755888,55860.88719012542,73146.59180840396,73016.2916615583,81708.53335631659,0.172514450502845
3601205,181308.2031,157444,330001.4091157002,0.3923223003226663,5.727066418860079e9,789.4071229463439,32971.11137075965,42601.75643059103,47345.72303773164,50879.75087801562,0.08549117110405688
3601206,181308.2031,120905,216305.00381930408,0.3340903695959078,5.883721532457759e9,931.4397526132319,48985.73900283332,59435.14286363643,65146.43576123886,68743.56239740794,0.047325857591382185
3601207,181308.2032195627,168431,300989.82879101683,0.70396829,1.2850946700362211e10,759.7067300831894,57379.43390541596,80494.91451069225,81732.00825499796,97883.25053444538,1.6408948666329555
3601300,170610.2267395151,174292,326667.6133628576,0.5735540160800711,1.0042160924124971e10,769.7280009506655,43463.14099197439,68360.7922,67226.2375790977,84348.09459312711,0.529911596858629
3601500,140951.9533766232,114825,211116.60144697182,0.5394321893419183,5.923954046598778e9,731.4057634283456,47867.98128155636,70350.64743492357,67825.04342248978,85300.21878801275,1.4214856335037052
