PUMA2020,α_bar,A_bar,ρ,q,Π,H_S
1601000,1.4710084,0.7334227,220.92108,305.73196,0.0028821807,0.25176218
1601100,1.3516877,0.88720334,267.28717,345.1352,0.0031457508,0.26240465
1601200,1.2940357,0.94940394,302.6431,384.2926,0.0039438694,0.19777238
1601300,1.3202565,0.8246322,233.6104,313.83127,0.015958961,0.26170474
1700100,1.1120031,0.8323099,222.8615,290.8277,0.004491396,0.27095148
1700701,0.90339494,1.0064985,318.81424,391.83975,0.01334093,0.21886408
1701901,1.0274079,0.9110456,253.51076,320.8123,0.018095534,0.30652037
1701902,1.0956224,0.77723575,224.45953,300.23575,0.004658507,0.29030427
1702900,1.1966748,0.7170872,212.6331,291.0072,0.00076222705,0.25864547
1703101,0.7367746,1.1188226,351.53076,414.21802,0.07348349,0.19490245
1703102,0.89334667,0.9582551,342.13574,428.6204,0.075362474,0.16965221
1703103,0.8369032,1.0529232,407.65973,495.9919,0.071755394,0.14050798
1703104,0.8090079,1.015356,332.95026,407.65573,0.07512985,0.18532799
1703105,0.75247735,1.1082968,361.6402,429.50848,0.078315064,0.1888961
1703106,0.412852,1.9408008,915.4732,940.2763,0.04037891,0.16668789
1703107,0.7392314,1.2554059,477.16492,546.1425,0.06885568,0.20228557
1703108,0.7390136,1.2687236,479.22006,546.4824,0.08148807,0.22136387
1703109,0.85400856,0.9794787,347.1212,431.73438,0.06373894,0.1681242
1703110,0.81041175,1.0138487,353.97104,434.95316,0.06244644,0.15711668
1703111,0.83523875,1.0114377,363.7404,447.85535,0.053940583,0.16346465
1703112,0.8874225,0.99570775,367.60452,455.75302,0.058052693,0.1886398
1703113,0.81043094,1.1177841,406.93283,483.26425,0.078810364,0.20605135
1703114,0.9562294,0.8604967,269.31454,348.36722,0.115264006,0.28618616
1703115,0.7485993,1.1459693,388.5989,454.6064,0.059253372,0.19074523
1703116,0.81294507,0.9849742,283.25354,347.8437,0.08573448,0.25078204
1703117,1.072477,0.66706014,210.8832,290.0298,0.15148763,0.34003705
1703118,0.91724414,0.89920264,269.6145,341.76035,0.07074218,0.27331135
1703151,0.82568276,1.0651022,375.6554,454.3014,0.06932905,0.20184517
1703152,0.7837378,1.2092651,485.84604,564.6578,0.06016498,0.18372566
1703153,1.03363,0.7990994,270.78085,359.99817,0.08751878,0.27843758
1703154,0.6112229,1.5144025,622.52216,673.18787,0.055927802,0.21471328
1703155,0.7997359,1.10562,380.81363,454.1982,0.06793609,0.2234997
1703156,0.8551101,0.9574972,316.6282,396.38104,0.07379112,0.19790497
1703157,1.0889668,0.7881164,294.07764,393.47473,0.080791906,0.25791648
1703158,1.1697601,0.72727394,290.8836,398.79547,0.086812384,0.25700104
1703159,0.6899501,1.2891017,466.04886,527.61884,0.042713705,0.20749712
1703160,0.64108604,1.3712476,474.23517,525.7164,0.052760147,0.25122043
1703161,0.9861513,0.7124623,214.93431,291.41986,0.10591581,0.29678717
1703162,0.8575702,0.9642222,314.52972,392.65717,0.049086027,0.21248627
1703163,1.09076,0.76505846,287.06506,387.2783,0.07055791,0.24079296
1703164,0.9728772,0.9245334,339.10007,431.17163,0.0785654,0.22930773
1703165,1.2233559,0.5172428,212.35951,305.81375,0.12112867,0.3302767
1703166,0.8579925,0.9269288,291.26157,367.95743,0.07911265,0.20618747
1703167,1.0727191,0.63184756,211.31555,294.06345,0.12589465,0.29664358
1703168,1.0677131,0.6305224,214.27855,298.68073,0.10834802,0.2689471
1703700,1.0210677,0.84920615,255.07442,332.10574,0.008222452,0.26856977
1704301,0.83341616,1.1253091,407.94873,484.08792,0.09300681,0.23121057
1704302,0.7964565,1.064192,381.6177,461.7237,0.06203465,0.15625872
1704303,0.66684544,1.3448173,535.80676,600.8582,0.06070958,0.15746446
