puma_2020,AAL_2020,AAL_2050
1100106,3.774932,4.492259
1200101,3.011714,3.703656
1200102,36.43381,44.80448
1200398,10.02155,20.62477
1200500,30.79203,45.8982
1200798,28.50827,44.51621
1200901,51.37035,74.84275
1200902,56.06678,81.6851
1200903,82.76566,120.5834
1200904,37.14444,54.11667
1200905,41.01041,59.7491
1201101,11.30048,18.57437
1201102,6.002924,9.866887
1201103,7.737464,12.71792
1201104,8.839687,14.52962
1201105,6.130819,10.07711
1201106,14.22073,23.37434
1201107,4.341338,7.13577
1201108,8.27974,13.60925
1201109,12.52931,20.59418
1201110,11.77389,19.35251
1201111,9.418475,15.48096
1201112,11.08622,18.2222
1201113,6.950285,11.42405
1201114,4.737308,7.786618
1201115,304.2941,500.1621
1201116,9.523666,15.65386
1201117,18.99557,31.22263
1201398,28.33129,44.48392
1201500,521.0414,826.9102
1201700,75.14896,168.7128
1201901,20.90684,33.07114
1201902,2.466995,3.902375
1202101,6.611143,11.7397
1202102,6.775075,12.03081
1202103,165.2629,293.4648
1202799,6.174465,6.89253
1203101,17.04881,44.17883
1203102,2.532826,6.563349
1203103,2.982706,7.729129
1203104,1.812523,4.696818
1203105,2.340585,6.065192
1203106,4.144832,10.74056
1203107,2.929668,7.591691
1203301,4.889462,9.561316
1203302,.5237693,1.024228
1203303,1.282375,2.507678
1203500,15.86428,30.15211
1204798,7.914076,12.61025
1205199,5.198991,6.404777
1205300,17.32302,28.87408
1205701,5.808411,9.900801
1205702,6.341921,10.8102
1205703,15.91174,27.12255
1205704,11.0787,18.88435
1205705,18.43088,31.41659
1205706,40.39744,68.85997
1205707,9.460437,16.12591
1205708,20.85899,35.55545
1205709,51.74537,88.20322
1205710,5.878687,10.02059
1205711,9.823484,16.74475
1205998,2.624158,4.853501
1206100,15.27034,30.66291
1206901,.8684185,1.166931
1206902,.6415163,.8620327
1206903,.6770109,.9097283
1207101,55.04787,151.6696
1207102,14.48792,39.91758
1207103,88.56501,244.0171
1207104,30.58727,84.27501
1207105,91.27275,251.4775
1207106,42.2066,116.2889
1207301,2.738357,3.820949
1207302,.2234774,.3118278
1208101,60.12883,82.26156
1208102,7.258611,9.930422
1208103,53.16053,72.72831
1208301,10.83763,13.99674
1208302,1.047668,1.353057
1208303,2.183602,2.82011
1208500,11.47318,24.84727
1208601,15.0917,21.76326
1208602,9.123428,13.15661
1208603,5.70583,8.228197
1208604,6.697467,9.658206
1208605,6.681318,9.634918
1208606,10.93361,15.76702
1208607,4.117058,5.93708
1208608,35.40407,51.0551
1208609,5.605391,8.083358
1208610,17.58266,25.3554
1208611,4.915966,7.08916
1208612,4.747557,6.846303
1208613,4.034191,5.81758
1208614,5.783182,8.339746
1208615,4.143989,5.975916
1208616,14.15419,20.41131
1208617,8.143512,11.7435
1208618,9.77656,14.09847
1208619,7.876295,11.35816
1208620,9.315156,13.43309
1208621,18.83179,27.15673
1208622,27.35156,39.44282
1208623,20.72204,29.88261
1208624,10.39973,14.99712
1208625,907.5605,1232.185
1209101,4.504627,9.156776
1209102,.2265232,.4604649
1209501,1.482841,2.094694
1209502,.9681122,1.367577
1209503,1.541537,2.177609
1209504,.5155789,.7283182
1209505,.26957,.3808005
1209506,.2911339,.4112622
1209507,.3849886,.5438434
1209508,.3475147,.490907
1209509,2.364357,3.339943
1209510,2.119903,2.994622
1209701,.1559653,.2534195
1209702,1.321272,2.146863
1209703,.0935905,.15207
1209901,3.140944,5.392194
1209902,3.759798,6.454609
1209903,1.451593,2.492012
1209904,.9618955,1.651328
1209905,.9705615,1.666205
1209906,1.471006,2.52534
1209907,1.289579,2.213877
1209908,1.397028,2.398338
1209909,1.223442,2.100336
1209910,3.774587,6.479998
1209911,60.84645,104.4577
1210101,26.17877,74.59602
1210102,11.12004,31.68638
1210103,3.477566,9.909275
1210104,7.161264,20.40592
1210301,64.43143,173.9904
1210302,33.50058,90.46487
1210303,24.58259,66.38275
1210304,27.65439,74.67783
1210305,28.93305,78.13072
1210306,33.8117,91.30502
1210307,37.22528,100.523
1210308,26.88037,72.58766
1210501,.1976345,.2552825
1210502,.746586,.9643575
1210503,.5395966,.6969915
1210504,3.872196,5.001676
1210505,1.176825,1.520093
1210799,14.36597,27.48618
1210902,11.23286,21.97635
1210903,10.80245,21.13427
1211101,21.22282,36.21896
1211102,3.509024,5.988518
1211103,3.454766,5.89592
1211300,6.30172,8.729585
1211501,8.137118,12.93711
1211502,14.05011,22.33812
1211503,77.11244,122.6002
1211701,1.487704,2.125777
1211702,1.157403,1.653811
1211703,.8460662,1.208942
1211704,4.620547,6.60229
1211900,2.174404,3.130115
1212701,23.20327,41.86109
1212702,10.87798,19.625
1212703,8.102046,14.61692
1212704,23.73582,42.82185
1300100,13.25514,13.98481
1300200,5.0936,5.4385
1300300,28.66974,29.93216
1300400,25.0952,27.59157
1300500,4.060154,4.234534
1300601,.158792,.1877499
1300602,.1288448,.1523413
1300701,.501872,.6201271
1300702,.3246944,.4012015
1300801,9.9435,10.8295
1300802,3.801766,4.140515
1300900,20.09984,21.83818
1301000,15.58693,16.45466
1301100,1.089245,1.283198
1301200,4.532082,5.152841
1301301,2.091711,2.610005
1301302,2.07413,2.588067
1301303,1.771762,2.210777
1301304,2.771919,3.458758
1301305,2.007636,2.505097
1301401,2.806222,2.747789
1301402,1.847838,1.809361
1301403,1.282737,1.256027
1301404,1.393842,1.364818
1301405,.9875029,.9669404
1301406,1.892055,1.852657
1301407,1.803599,1.766043
1301408,5.721801,5.602657
1301501,1.545469,1.794714
1301502,1.812536,2.104853
1301503,1.53497,1.782522
1301504,1.061092,1.23222
1301505,2.183609,2.535771
1301506,2.847216,3.306402
1301601,1.55262,1.732477
1301602,2.180191,2.432745
1301603,2.518484,2.810227
1301604,1.227936,1.37018
1301605,1.02562,1.144428
1301606,.9454854,1.055011
1301607,1.822176,2.033258
1301700,1.999136,2.062968
1301800,3.767436,3.970148
1301900,2.09157,2.279533
1302000,2.305015,3.204442
1302100,3.716326,4.139531
1302201,1.096637,1.176237
1302202,1.86657,2.002056
1302301,1.102685,1.299098
1302302,1.269772,1.495948
1302400,.8984755,.9755062
1302500,1.482271,1.639429
1302600,1.171799,1.304928
1302700,13.19366,15.59733
1302800,4.02021,4.532188
1302900,5.285567,5.907805
1303000,5.889016,6.887205
1303100,2.083769,2.335948
1303200,2.006645,2.285973
1303301,.8097379,1.011369
1303302,4.881844,6.09746
1303400,5.017005,6.285459
1303500,7.68735,8.109494
1303600,5.012816,5.352058
1303700,7.767024,8.639068
1303800,7.658597,8.626176
1303900,11.72198,12.98905
1304000,9.721585,11.85773
1304100,3.629751,3.987418
1304200,7.104187,8.746629
1304300,.8902553,1.236563
1304400,6.496629,8.093357
1304500,5.020901,5.866171
1304600,6.244229,7.965166
1304701,26.00304,43.07309
1304702,63.02826,104.404
1304800,89.02385,154.1722
1600100,59.2153,66.40346
1600200,10.39221,11.64203
1600300,108.7398,116.1356
1600400,13.72285,18.01946
1600500,7.45866,8.580194
1600600,1.770762,2.17562
1600701,.8871438,1.106235
1600702,.86093,1.073547
1600800,15.94907,19.88789
1600900,4.511878,5.275118
1601000,21.25504,25.10415
1601100,22.87302,26.17647
1601200,12.64168,14.55781
1601300,16.79072,20.07086
1700100,8.454849,8.491838
1700701,11.55626,11.73577
1701901,7.155279,7.634217
1701902,18.20978,19.12154
1702900,15.73852,17.11354
1703101,30.46166,31.14846
1703102,16.12249,16.48599
1703103,11.24316,11.49665
1703104,14.21009,14.53048
1703105,12.97829,13.2709
1703106,21.55528,22.04128
1703107,8.68332,8.879098
1703108,14.7736,15.10669
1703109,10.15285,10.38176
1703110,9.053739,9.257869
1703111,8.299403,8.486526
1703112,4.140053,4.233397
1703113,21.01388,21.48767
1703114,15.66336,16.01651
1703115,34.72388,35.50678
1703116,20.64183,21.10723
1703117,20.07921,20.53193
1703118,35.25321,36.04804
1703151,10.14297,10.37166
1703152,3.44534,3.52302
1703153,2.503071,2.559506
1703154,2.670377,2.730584
1703155,3.742376,3.826754
1703156,4.236223,4.331735
1703157,4.106221,4.198802
1703158,5.751528,5.881205
1703159,4.332335,4.430014
1703160,2.581112,2.639307
1703161,4.669625,4.774908
1703162,5.203954,5.321284
1703163,4.037189,4.128214
1703164,7.529386,7.699146
1703165,5.635337,5.762394
1703166,6.645751,6.795589
1703167,8.733605,8.930517
1703168,10.77826,11.02127
1703700,17.15625,17.76677
1704301,9.873706,10.20937
1704302,6.023817,6.228599
1704303,4.709938,4.870054
1704304,4.663438,4.821973
1704305,7.693218,7.954751
1704306,4.755623,4.917292
1704307,6.736579,6.965592
1704900,5.021003,5.230517
1707300,5.234374,5.587942
1708901,32.24143,33.10376
1708902,4.911958,5.043334
1708903,5.765289,5.919488
1708904,3.100706,3.183638
1709100,43.15257,43.8807
1709300,10.96026,10.70815
1709500,5.761937,5.832575
1709701,1.596026,1.661235
1709702,1.08383,1.128113
1709703,1.185395,1.233828
1709704,1.665409,1.733454
1709705,.9938272,1.034433
1709900,14.2914,14.64167
1711101,3.348533,3.427226
1711102,1.034785,1.059103
1711300,2.291916,2.236099
1711500,5.823605,6.423186
1711700,14.28782,13.97926
1711901,.8528187,.9766625
1711902,1.524409,1.745779
1712100,6.747503,6.885019
1713500,3.523962,3.627677
1714300,1.839205,1.844283
1716100,30.74898,31.62465
1716301,2.402341,2.546603
1716302,10.9253,11.65055
1716500,12.49037,13.01672
1716700,2.348943,2.480575
1717900,1.942115,1.888327
1719500,12.26164,12.65167
1719701,2.358746,2.534202
1719702,2.332887,2.50642
1719703,2.321616,2.49431
1719704,3.063377,3.291247
1719705,17.5093,18.81174
1719900,6.293022,6.546385
1720101,24.3189,24.55265
1800101,.3631568,.3667933
1800102,.6992007,.7062022
1800103,.7279124,.7352014
1800104,2.784574,2.812457
1800200,1.354521,1.502863
1800300,1.443873,1.811081
1800401,3.135904,3.165551
1800402,24.47119,24.70254
1800501,5.61156,5.73587
1800502,22.30024,22.79425
1800600,1.823208,1.878307
1800700,3.09421,3.164363
1800800,1.324662,1.622493
1800900,3.607568,3.759513
1801001,1.943586,1.991508
1801002,2.189015,2.242988
1801003,16.86374,17.27954
1801100,38.10147,37.93342
1801200,3.214232,3.308874
1801300,26.72078,27.10148
1801400,10.12878,10.40867
1801500,2.093219,2.321752
1801600,2.421954,2.615766
1801700,3.538309,3.641028
1801801,6.111583,6.499897
1801901,.5299265,.5569403
1801902,1.374812,1.444895
1802000,4.208668,4.213007
1802100,4.281217,4.605815
1802200,4.442077,4.602608
1802300,1.210003,1.253008
1802401,5.556135,5.693795
1802402,4.697047,4.813422
1802403,5.313003,5.444639
1802404,6.441346,6.600938
1802405,4.682013,4.798015
1802406,9.91344,10.15906
1802407,7.511153,7.697251
1802500,.4983606,.5405043
1802600,2.020946,2.04856
1802700,1.454593,1.446221
1802800,3.847906,4.00067
1802900,.9330249,1.064904
1803000,5.12672,5.375523
1803100,8.803068,9.29419
1803200,11.64918,12.51743
1803300,1.173768,1.395702
1803400,3.089174,3.337924
1803500,5.078179,5.407359
1803600,15.2606,15.55104
1803700,3.185265,3.404735
1900100,1.01449,.9851362
1900200,7.593641,7.645837
1900301,2.794246,2.897561
1900302,.2924404,.3032531
1900400,12.21508,12.56912
1900500,22.347,22.57564
1900600,5.603163,5.615341
1900700,12.37415,12.765
1900800,10.56728,10.84869
1900900,31.30749,32.10052
1901100,2.575971,2.503638
1901200,2.092776,2.080016
1901300,2.492266,2.537298
1901400,1.00756,1.001927
1901501,1.441159,1.461544
1901502,3.247713,3.29365
1901503,.5856899,.5939742
1901600,1.285648,1.282027
1901800,1.963222,1.973372
1901900,5.958138,5.84211
1902000,5.353305,5.222537
1902100,6.852506,7.141702
1902200,15.29769,15.50705
1902300,5.212203,5.7408
2000100,2.274699,2.163898
2000200,2.839181,2.825606
2000300,.9591736,.9932875
2000400,13.01499,13.92186
2000501,.682726,.7835332
2000601,5.554836,6.18396
2000700,1.716058,1.663786
2000801,1.686555,1.710082
2000802,.5207558,.5280203
2000803,1.257305,1.274845
2000804,2.203869,2.234612
2000900,2.284515,2.321784
2001000,4.780446,4.781002
2001101,7.723485,7.669977
2001201,2.965258,3.134199
2001301,1.739081,1.830075
2001401,.0826864,.0887981
2001501,1.816148,1.937849
2001600,2.429955,2.412027
2001701,4.495106,4.532729
2001800,2.323894,2.360228
2100100,9.706007,10.31535
2100200,4.76788,4.965465
2100300,12.75648,13.58821
2100400,26.29166,28.37496
2100500,17.76925,18.03744
2100600,13.83665,14.11823
2100700,4.625216,5.061953
2100800,19.21435,22.36891
2100900,75.83332,78.87934
2101000,103.106,108.7777
2101100,234.444,243.9973
2101200,9.802365,10.04271
2101300,1.333298,1.355974
2101400,5.229497,5.464204
2101500,1.595476,1.787374
2101600,2.323894,2.421191
2101701,1.010818,1.049452
2101702,.909453,.9442129
2101703,1.881466,1.953376
2101704,2.875562,2.985468
2101705,1.505291,1.562824
2101706,2.796738,2.903631
2101800,5.695857,5.921384
2101901,.3837063,.4320714
2101902,2.671772,3.008542
2101903,.8782697,.9889732
2102000,10.42434,11.16714
2102100,9.710474,10.33915
2102200,8.245239,8.901261
2102300,17.82869,18.25019
2102400,5.20292,6.132312
2102500,7.093498,7.691245
2102600,38.61115,40.06481
2102700,22.34016,23.60952
2102800,78.09616,82.28843
2200101,5.052668,6.167265
2200102,2.846505,3.474432
2200200,10.34754,12.23944
2200300,5.942421,6.41339
2200400,1.860556,2.092092
2200500,6.701788,7.27153
2200600,19.65055,22.264
2200700,48.07176,70.97713
2200801,53.24944,142.2675
2200901,60.47793,117.1804
2201000,6.69129,7.631287
2201100,46.96977,64.29154
2201201,5.450082,6.157741
2201202,2.926834,3.306865
2201300,23.99274,57.95599
2201400,2.328167,3.095732
2201501,3.135278,3.835607
2201502,.5996951,.7336493
2201503,.6779844,.8294261
2201504,.7805147,.9548586
2201600,19.63695,26.53057
2201700,31.95654,46.99272
2201800,15.32598,20.54364
2201900,46.46628,136.7734
2202000,41.28145,141.7301
2202100,138.1891,510.7309
2202201,44.36706,151.6401
2202202,27.45483,93.83659
2202301,11.34326,29.29374
2202302,9.460631,24.43188
2202303,29.1882,75.37791
2202401,98.59207,238.2715
2202402,11.21355,27.10025
2202403,21.73874,52.53691
2202501,140.5904,341.9418
2300100,37.85388,42.67234
2300200,36.02404,39.87832
2300300,14.30653,15.94757
2300400,23.00176,25.67543
2300500,5.603565,6.523901
2300600,51.46425,56.2216
2300700,6.015692,7.227476
2300800,11.95899,16.30159
2300900,3.91554,4.754616
2301000,.7866371,.9155217
2400101,35.44357,39.04111
2400201,6.190028,6.343799
2400301,1.664805,1.739891
2400302,9.961206,10.41048
2400400,4.372221,4.623866
2400501,12.12318,14.6591
2400502,1.368546,1.654817
2400503,1.132417,1.369295
2400504,.702701,.8496917
2400505,1.386314,1.676302
2400506,1.658838,2.005833
2400507,1.09503,1.324088
2400601,2.09803,2.25819
2400602,.7923418,.8528278
2400700,3.256871,3.834846
2400801,5.152572,5.896835
