PUMA2020,elasticity
2901105,0.29236254
2901200,0.55155653
2901400,0.66201735
2901700,0.54565376
2901801,0.30712524
2901802,0.17368904
2901803,0.099514961
2901901,0.2542125
2901902,0.21931513
2901903,0.1340916
2901904,0.24506937
2901905,0.15443617
2901906,0.32129803
2901907,0.15686727
2901908,0.24220137
2902001,0.16644298
2902002,0.099417329
2902101,0.47299999
2902102,0.60923743
2902600,0.68001175
2902701,0.76441026
2902702,0.28561038
2902703,0.33428317
2902800,0.71815503
2902900,0.67110705
3000200,0.5000875
3000300,0.92818308
3000500,0.46690345
3000600,0.91167289
3000700,0.65347707
3000800,0.23619083
3100200,0.69810241
3100702,0.33672911
3100801,0.20846182
3100802,0.22463214
3100901,0.17687872
3100902,0.11120009
3100903,0.21290453
3100904,0.13905858
3200101,0.37227488
3200102,0.23820582
3200103,0.6722551
3200200,0.69449413
3200300,0.85460365
3200401,0.42090887
3200402,0.34648144
3200403,0.30196691
3200404,0.28448212
3200405,0.11268053
3200406,0.1513509
3200407,0.22766134
3200408,0.20880064
3200409,0.2021284
3200410,0.19367413
3200411,0.28373614
3200412,0.25635895
3200413,0.06962432
3200414,0.23403752
3200415,0.2740117
3300201,0.89584529
3300301,0.60810697
3300401,0.56762475
3300501,0.53184938
3300601,0.16970167
3300602,0.41521183
3300603,0.1989948
3300701,0.49430528
3300801,0.36965418
3400101,0.39802217
3400102,0.85427588
3400301,0.13550141
3400302,0.106883
3400303,0.071709678
3400304,0.10245058
3400305,0.33992141
3400306,0.38971123
3400307,0.22314911
3400308,0.37341499
3400501,0.095347568
3400502,0.15636836
3400503,0.073482849
3400504,0.41620889
3400601,0.15065101
3400602,0.12642995
3400603,0.16325347
3400604,0.1265997
3400605,0.14882535
3400800,0.51429439
3400901,0.30742374
3400902,0.3946808
3400903,0.22770688
3400904,0.12599267
3400905,0.086277664
3400906,0.1600958
3400907,0.11718824
3401001,0.4857085
3401002,0.41876152
3401003,0.21174054
3401101,0.22739457
3401102,0.40046626
3401103,0.24550427
3401104,0.25100705
3401105,0.24522236
3401106,0.43616611
3401201,0.30661371
3401202,0.17088661
3401203,0.20928314
3401204,0.4293389
3401205,0.14414893
3401401,0.13358516
3401402,0.11888521
3401403,0.27535254
3401404,0.28444576
3401405,0.14969192
3401406,0.15591699
3401407,0.088386029
3401501,0.34501478
3401502,0.44746184
3401503,0.2776019
3401504,0.27693328
3401600,0.49864817
3401700,0.35158893
3401901,0.10419785
3401902,0.25462365
3401903,0.28162953
3401904,0.15027548
3401905,0.11438841
3402001,0.29860982
3402002,0.36720839
3402003,0.53545791
3402101,0.1673439
3402102,0.22304894
3402103,0.3567788
3402104,0.27932015
3402201,0.28955212
3402202,0.50446731
3402301,0.13136597
3402302,0.39597568
3402303,0.28057018
3402401,0.53768021
3402501,0.4395144
3402601,0.31713998
3500300,0.78881258
3500500,0.69301975
3500600,0.69468731
3500701,0.5702948
3500702,0.3515662
3500703,0.2450197
3500704,0.1543112
3500705,0.31449893
3500706,0.71889663
3500800,0.93407315
3500900,0.84625047
3501001,0.8578257
3501002,0.48799494
3600300,0.65336645
3600401,0.72202736
3600402,0.46135297
3600403,0.88622898
3600500,0.74741393
3600600,0.52488118
3600701,0.19656107
3600702,0.61425829
3600703,0.49600789
3600704,0.96106482
3600800,0.77563018
3600901,0.59500998
3600902,0.2489787
3600903,0.26631919
3600904,0.5463931
3600905,0.8534714
3600906,0.63411707
3601000,0.88376904
3601101,0.22589657
3601102,0.58670861
3601201,0.32704586
3601202,0.40202135
3601203,0.66223305
3601204,0.34086755
3601205,0.22760089
3601206,0.21159503
3601207,0.61993492
3601300,0.62659764
3601500,0.7655822
3601600,0.82332802
3601700,0.2704879
3601801,0.43448642
3601802,0.52904624
3601900,0.47232279
3602001,0.20418134
3602002,0.49521315
3602100,0.55163431
3602201,0.3172147
3602204,0.88872224
3602403,0.53747004
3602404,0.72751147
3602701,0.4908821
3602702,0.35145313
3602803,0.58316875
3602804,0.24179165
3602805,0.4763388
3602901,0.29973838
3602902,0.31269777
3602903,0.55113387
3603001,0.33911318
3603002,0.32704321
3603003,0.27690727
3603102,0.235595
3603103,0.42911565
3603110,0.13441096
3603111,0.25501192
3603112,0.09641543
3603113,0.10573599
3603114,0.14308153
3603201,0.18459988
3603202,0.22247551
3603203,0.1329065
3603204,0.14935836
3603205,0.15909673
3603206,0.14652175
3603207,0.13077463
3603208,0.12204327
3603209,0.13612209
3603210,0.1484338
3603211,0.15765503
3603212,0.16948117
3603301,0.25481966
3603302,0.24136075
3603303,0.22958896
3603304,0.29797858
3603305,0.3249087
3603306,0.3306942
3603307,0.19186841
3603308,0.1584433
3603309,0.17201284
3603310,0.15429252
3603311,0.14739808
3603312,0.12317846
3603313,0.12388633
3604103,0.22140364
3604104,0.2225775
3604107,0.12292423
3604108,0.12163423
3604109,0.11932305
3604110,0.15314333
