GEOID,scenario,period,HDD,CDD,midyear,SST
603710,RCP45,1985-2015,1045.9342896380588,427.18312406673806,2000,0.0
603711,RCP45,1985-2015,1145.7377620136538,399.73693427578974,2000,0.0
603712,RCP45,1985-2015,1184.6968542941777,387.8576163279442,2000,0.0
603713,RCP45,1985-2015,1048.3017578125,429.4468994140625,2000,0.0
603714,RCP45,1985-2015,778.4187540311622,511.87338039738546,2000,0.0
603715,RCP45,1985-2015,1048.3017578125,429.4468994140625,2000,0.0
603716,RCP45,1985-2015,1041.3596038569688,422.8088051192697,2000,0.0
603717,RCP45,1985-2015,1000.527897532922,383.7654882276361,2000,0.0
603718,RCP45,1985-2015,1000.1254272460938,383.3806457519531,2000,0.0
603719,RCP45,1985-2015,959.7737689885076,394.96144905869124,2000,0.0
603720,RCP45,1985-2015,821.4227294921875,432.0738220214844,2000,0.0
603721,RCP45,1985-2015,821.4227294921875,432.0738220214844,2000,0.0
603722,RCP45,1985-2015,821.4227294921875,432.0738220214844,2000,0.0
603723,RCP45,1985-2015,971.6686795500066,380.0219045356359,2000,0.0
603724,RCP45,1985-2015,960.7309591473918,321.2371292208568,2000,0.0
603725,RCP45,1985-2015,1000.6889038085938,289.4457092285156,2000,0.0
603728,RCP45,1985-2015,844.728515450003,413.53122590152077,2000,0.0
603730,RCP45,1985-2015,821.4227294921875,432.0738220214844,2000,0.0
603731,RCP45,1985-2015,821.4227294921875,432.0738220214844,2000,0.0
603732,RCP45,1985-2015,821.4227294921875,432.0738220214844,2000,0.0
603733,RCP45,1985-2015,821.4227294921875,432.0738220214844,2000,0.0
603734,RCP45,1985-2015,869.3884675804597,419.00404652852126,2000,0.0
603735,RCP45,1985-2015,999.3065932728902,383.6037628480788,2000,0.0
603736,RCP45,1985-2015,1000.1254272460938,383.3806457519531,2000,0.0
603737,RCP45,1985-2015,1000.1254272460938,383.3806457519531,2000,0.0
603738,RCP45,1985-2015,1000.8081843391989,384.0334987416019,2000,0.0
603739,RCP45,1985-2015,733.5011435400588,509.65501694847194,2000,0.0
603740,RCP45,1985-2015,807.200332010069,463.68896224489816,2000,0.0
603741,RCP45,1985-2015,650.5252205053739,528.9076131720535,2000,0.0
603742,RCP45,1985-2015,579.6069215987254,512.9054968133652,2000,0.0
603743,RCP45,1985-2015,1000.1254272460938,383.3806457519531,2000,0.0
603744,RCP45,1985-2015,971.3985607909699,391.2081849528271,2000,0.0
603745,RCP45,1985-2015,770.8557249586698,450.9181518124035,2000,0.0
603746,RCP45,1985-2015,821.4227294921875,432.0738220214844,2000,0.0
603747,RCP45,1985-2015,764.2047183792773,447.22658842466575,2000,0.0
603748,RCP45,1985-2015,617.4521593083678,486.0903518344503,2000,0.0
603750,RCP45,1985-2015,619.6528902268725,485.50754301471414,2000,0.0
603751,RCP45,1985-2015,580.8878977756865,509.7881843631977,2000,0.0
603752,RCP45,1985-2015,557.0403442382812,567.822265625,2000,0.0
603753,RCP45,1985-2015,557.0403442382812,567.822265625,2000,0.0
603754,RCP45,1985-2015,575.7044460625483,563.7407264107701,2000,0.0
603757,RCP45,1985-2015,564.5312304543415,549.5928611410604,2000,0.0
603758,RCP45,1985-2015,587.35009765625,494.0621337890625,2000,0.0
603759,RCP45,1985-2015,587.35009765625,494.0621337890625,2000,0.0
603760,RCP45,1985-2015,587.35009765625,494.0621337890625,2000,0.0
603761,RCP45,1985-2015,587.35009765625,494.0621337890625,2000,0.0
603762,RCP45,1985-2015,577.2111301189875,518.7357618425792,2000,0.0
603763,RCP45,1985-2015,557.0403442382812,567.822265625,2000,0.0
603764,RCP45,1985-2015,557.0403442382812,567.822265625,2000,0.0
603766,RCP45,1985-2015,552.5955993467616,567.7148473856612,2000,0.0
603767,RCP45,1985-2015,595.1552973931081,481.48789248455233,2000,0.0
603768,RCP45,1985-2015,678.1138912076789,354.54474997483896,2000,0.0
603770,RCP45,1985-2015,814.3539830559587,433.9458036130872,2000,0.0
603771,RCP45,1985-2015,1399.4167465550677,222.4986460698654,2000,0.0
603772,RCP45,1985-2015,1838.2738666669948,226.93355222955554,2000,0.0
603773,RCP45,1985-2015,1526.7088449891023,188.00182744289498,2000,0.0
603774,RCP45,1985-2015,985.9416073884594,283.2386700187103,2000,0.0
603775,RCP45,1985-2015,821.4227294921875,432.0738220214844,2000,0.0
603776,RCP45,1985-2015,821.4227294921875,432.0738220214844,2000,0.0
603778,RCP45,1985-2015,587.35009765625,494.0621337890625,2000,0.0
603779,RCP45,1985-2015,556.6226297754278,567.8121705232019,2000,0.0
603780,RCP45,1985-2015,556.9150707518097,567.8192380817594,2000,0.0
603781,RCP45,1985-2015,557.0403442382812,567.822265625,2000,0.0
603782,RCP45,1985-2015,557.0403442382812,567.822265625,2000,0.0
603900,RCP45,1985-2015,1273.2805909950832,923.8286491495602,2000,0.0
604103,RCP45,1985-2015,1230.8450572546092,135.71079337207806,2000,0.0
604104,RCP45,1985-2015,1390.6183361121136,53.17809851819266,2000,0.0
604701,RCP45,1985-2015,1295.5389560951344,498.75853991407195,2000,0.0
604702,RCP45,1985-2015,1186.7951652409827,894.9187425731898,2000,0.0
605301,RCP45,1985-2015,1587.8169649055178,54.20676983267397,2000,0.0
605302,RCP45,1985-2015,1546.5058156201962,85.36590309299534,2000,0.0
605303,RCP45,1985-2015,1535.205927110613,142.41702927780753,2000,0.0
605500,RCP45,1985-2015,1387.8576520560457,285.71296047033695,2000,0.0
605700,RCP45,1985-2015,2839.299641082956,213.93717543626292,2000,0.0
605906,RCP45,1985-2015,722.2455077671548,529.8282960421316,2000,0.0
605907,RCP45,1985-2015,691.5187377929688,538.4140014648438,2000,0.0
605908,RCP45,1985-2015,566.5123492594034,564.2336323372159,2000,0.0
605909,RCP45,1985-2015,675.975564055558,541.8130438468535,2000,0.0
605912,RCP45,1985-2015,604.2350866807559,561.0492496684793,2000,0.0
605913,RCP45,1985-2015,690.4006831359001,538.8427549864748,2000,0.0
605914,RCP45,1985-2015,593.5952809218197,575.0724641557485,2000,0.0
605916,RCP45,1985-2015,619.755303040889,565.9339667722292,2000,0.0
605917,RCP45,1985-2015,626.1538556001876,563.4802388388085,2000,0.0
605918,RCP45,1985-2015,595.1307983398438,575.3770141601562,2000,0.0
