T2020PUMA_GISMATCH,gamma01b_units_FMM_agg_eq20,gamma01b_units_FMM_agg_eq21
609702,0.22073099,0.2555823
609704,0.46768844,0.49565402
609705,0.15947379,0.19310865
609706,0.27451885,0.32461318
609901,0.49214557,0.55046874
609902,0.32464114,0.3472496
609903,0.45700821,0.52489203
609904,0.28170162,0.28773314
610100,0.47207558,0.54574007
610701,0.47809309,0.54665834
610702,0.37364748,0.46104637
610703,0.7624495,0.83264953
611102,0.26417133,0.27908751
611103,0.1535642,0.15897164
611104,0.16840668,0.18275879
611107,0.40689835,0.4323293
611108,0.22072233,0.24250364
611109,0.22603802,0.24476594
611301,0.38375425,0.46100032
611302,0.31065246,0.36377472
800301,0.63484508,0.67652172
800302,0.46859586,0.49953297
800303,0.39452139,0.44228852
800401,0.78756171,0.78914374
800501,0.26726753,0.31053874
800502,0.22648907,0.2584413
800601,0.31764135,0.34293064
800701,0.21717909,0.22405376
800702,0.20193721,0.2116421
800703,0.23856692,0.25351012
800801,0.29141733,0.31218144
800901,0.62419122,0.63626629
800902,0.54001749,0.55894428
801001,0.76909459,0.77893901
801002,0.095127881,0.12569469
801003,0.77359867,0.77511245
801101,0.16286744,0.17192793
801201,0.30295357,0.33294713
801202,0.24544773,0.26562363
801301,0.17536913,0.17841266
801401,0.65820402,0.67653567
801501,0.17674501,0.18212567
801601,0.13163462,0.13447632
801602,0.23830476,0.24474259
801603,0.17084683,0.18509084
801701,0.16895658,0.17116942
801702,0.26162523,0.27393258
801703,0.15263437,0.15459481
801704,0.18842934,0.19207714
801705,0.17073798,0.17464434
801800,0.74321997,0.74439633
802001,0.81354773,0.81746221
802002,0.45650664,0.52493495
802003,0.38790157,0.42897177
802004,0.20798744,0.22089329
802005,0.27127492,0.30135453
802006,0.24511798,0.27090949
802101,0.77252364,0.77639031
802301,0.29278892,0.33827394
802401,0.80439711,0.80901051
802501,0.38140288,0.40775594
920100,0.46700531,0.51118505
920201,0.010418596,0.018359764
920202,0.29979444,0.33005676
920203,0.66366595,0.66853499
920204,0.10694578,0.13272527
920205,0.22730847,0.25161129
920206,0.17125641,0.20034376
920207,0.29018879,0.33692083
920301,0.5841465,0.61080515
920401,0.19902882,0.25101745
920402,0.501109,0.55839014
920500,0.37609366,0.41561705
920601,0.066140465,0.083255038
920602,0.10239173,0.14013781
920603,0.14070302,0.17594479
920604,0.31179613,0.33976468
920701,0.050449029,0.067917407
920702,0.34178048,0.37914556
920703,0.2849457,0.31336355
920801,-0.016805535,-0.0088158241
920802,0.14007038,0.17154846
920901,0.13245177,0.15873367
920902,0.42000592,0.44192135
920903,0.10039911,0.11977012
920904,0.33586109,0.37409326
1000101,0.30740926,0.33934483
1000102,0.041014243,0.0579491
1000103,0.17177349,0.19555269
1000104,0.24443616,0.27825859
1000105,0.61000866,0.63199562
1000200,0.54311538,0.59138745
1000301,0.46269745,0.49110362
1000302,0.63334972,0.64095199
1100101,0.28475428,0.30128047
1100102,0.15412806,0.16433018
1100103,0.1390598,0.14127856
1100104,0.17261282,0.17819437
1100105,0.17145637,0.17529823
1100106,0.22669291,0.23084779
1200101,0.63526779,0.65069848
1200102,0.86714554,0.87675697
1200398,0.77827018,0.79842997
1200500,0.45734286,0.49382931
